date,relative_humidity_2m,City
2024-09-18,59.291668,Manisa
2024-09-18,53.833332,Mus
2024-09-18,78.041664,Sakarya
2024-09-18,68.833336,Tekirdag
2024-09-18,53.458332,Van
2024-09-17,68.083336,Balikesir
2024-09-17,48.833332,Bingöl
2024-09-17,65.833336,Bursa
2024-09-17,73.5,Çanakkale
2024-09-17,74.916664,Düzce
2024-09-17,58.5,Erzincan
2024-09-17,50.916668,Hatay
2024-09-17,73.166664,Istanbul
2024-09-17,60.458332,Izmir
2024-09-17,71.5,Kocaeli
2024-09-17,57.25,Manisa
2024-09-17,53.875,Mus
2024-09-17,71.833336,Sakarya
2024-09-17,74.125,Tekirdag
2024-09-17,53.958332,Van
2024-09-16,57.625,Balikesir
2024-09-16,39.416668,Bingöl
2024-09-16,62.791668,Bursa
2024-09-16,63.625,Çanakkale
2024-09-16,73.166664,Düzce
2024-09-16,37.5,Erzincan
2024-09-16,55.75,Hatay
2024-09-16,75.5,Istanbul
2024-09-16,58.041668,Izmir
2024-09-16,72.583336,Kocaeli
2024-09-16,58.041668,Manisa
2024-09-16,43.541668,Mus
2024-09-16,77.625,Sakarya
2024-09-16,76.583336,Tekirdag
2024-09-16,47.583332,Van
2024-09-15,61.833332,Balikesir
2024-09-15,31.75,Bingöl
2024-09-15,72.791664,Bursa
2024-09-15,63.125,Çanakkale
2024-09-15,67.583336,Düzce
2024-09-15,41.416668,Erzincan
2024-09-15,65.90909,Hatay
2024-09-15,80.375,Istanbul
2024-09-15,57.458332,Izmir
2024-09-15,68.583336,Kocaeli
2024-09-15,57.666668,Manisa
2024-09-15,40.958332,Mus
2024-09-15,74.083336,Sakarya
2024-09-15,81.458336,Tekirdag
2024-09-15,40,Van
2024-09-14,62.541668,Balikesir
2024-09-14,31.75,Bingöl
2024-09-14,54,Bursa
2024-09-14,70,Çanakkale
2024-09-14,59.458332,Düzce
2024-09-14,48.291668,Erzincan
2024-09-14,58.541668,Istanbul
2024-09-14,64.083336,Izmir
2024-09-14,54.25,Kocaeli
2024-09-14,65.25,Manisa
2024-09-14,46.833332,Mus
2024-09-14,61.208332,Sakarya
2024-09-14,62.125,Tekirdag
2024-09-14,38.916668,Van
2024-09-13,62.5,Balikesir
2024-09-13,24.208334,Bingöl
2024-09-13,55.791668,Bursa
2024-09-13,69.5,Çanakkale
2024-09-13,59.5,Düzce
2024-09-13,46.583332,Erzincan
2024-09-13,57.875,Istanbul
2024-09-13,64.458336,Izmir
2024-09-13,59.5,Kocaeli
2024-09-13,64.916664,Manisa
2024-09-13,34.208332,Mus
2024-09-13,67.375,Sakarya
2024-09-13,69.875,Tekirdag
2024-09-13,42.791668,Van
2024-09-12,66.916664,Balikesir
2024-09-12,32.375,Bingöl
